0.4	0.12	0.12
7.36	0.42	0.41
2229.5	2.56	2.48
0.45	0.12	0.12
8.12	0.38	0.38
1152.92	2.57	2.52
0.34	0.12	0.13
3.97	0.36	0.43
402.2	8.99	2.29
0.4	0.12	0.13
5.08	0.38	0.39
418.31	8.92	2.24
0.18	0.12	0.13
0.89	0.34	0.36
40.78	7.45	1.81
0.2	0.13	0.15
0.98	0.49	0.53
39.29	9.2	4.96
0.18	0.12	0.12
0.78	0.33	0.34
35.62	1.87	1.54
0.19	0.13	0.14
0.78	0.48	0.53
35.11	4.59	4.73
0.58	0.091	22.91
0.067	0.23	3.96
0.316	1.07	8.05
0.76	0.11	29.96
1.07	0.26	3.93
10.13	1.19	9.001
0.61	0.19	0.48
0.31	0.7	0.59
1.37	5.63	3.47
0.78	0.19	0.16
0.47	0.6	0.5
2.36	5.2	3.26
0.06	0.033	0.14
2.23	0.21	0.03
424.88	34.38	0.16
0.2	0.049	0.22
2.92	0.22	0.079
1175.78	85.88	0.16
